epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,714.914,1.88444,0.14593,0.04309,0.9811,0.71353,0.76951,0.5448,0.59596,0.19561,0.82832,0.58781,0.70772,0.64093,2.89151,0.83892,0.04493,2.05758,0.89262,0.0007724,0.0007724,0.0007724
64,728.796,1.82189,0.15611,0.03712,0.99629,0.74073,0.62653,0.40287,0.418,0.1303,0.8443,0.54421,0.66523,0.60408,3.1516,0.87705,0.0362,2.377,0.91257,0.0007526,0.0007526,0.0007526
65,739.668,1.79661,0.13325,0.0446,0.93027,0.71662,0.75514,0.48387,0.52856,0.15705,0.85067,0.55556,0.6895,0.6213,2.98499,0.85768,0.04542,2.20874,0.90115,0.0007328,0.0007328,0.0007328
66,750.632,1.83101,0.12593,0.03707,1.00071,0.72374,0.72939,0.46595,0.51636,0.15374,0.85283,0.5448,0.6859,0.63518,3.00956,0.76771,0.03355,2.31984,0.90413,0.000713,0.000713,0.000713
67,761.656,1.93861,0.12236,0.03895,1.00385,0.72666,0.72795,0.52688,0.56566,0.1752,0.84184,0.60932,0.70231,0.64831,2.99453,0.82504,0.0429,2.09324,0.90786,0.0006932,0.0006932,0.0006932
68,773.326,1.87692,0.13016,0.04067,0.94295,0.7271,0.7127,0.51613,0.53157,0.14851,0.83667,0.60591,0.74824,0.67002,3.03001,0.82195,0.03621,2.08241,0.90091,0.0006734,0.0006734,0.0006734
69,786.425,1.79422,0.13926,0.03549,0.97089,0.72299,0.70586,0.61068,0.60521,0.19534,0.80931,0.7276,0.80342,0.72686,2.94196,0.79616,0.02749,1.58021,0.9005,0.0006536,0.0006536,0.0006536
70,799.562,1.72987,0.12205,0.03688,0.88933,0.72841,0.73099,0.49673,0.54327,0.16574,0.85231,0.57917,0.73875,0.68235,2.95769,0.76412,0.03237,2.14278,0.90905,0.0006338,0.0006338,0.0006338
71,811.551,1.81092,0.12877,0.03176,0.951,0.72359,0.78447,0.48387,0.51809,0.16369,0.88325,0.5448,0.66947,0.61995,2.95945,0.72579,0.03434,2.42431,0.90092,0.000614,0.000614,0.000614
72,827.31,1.78736,0.11995,0.04512,0.92317,0.73339,0.76345,0.49741,0.55069,0.15954,0.84046,0.54759,0.68348,0.62899,2.97315,0.77324,0.02894,2.35515,0.90112,0.0005942,0.0005942,0.0005942
73,837.968,1.72953,0.12112,0.03076,0.8883,0.73222,0.72594,0.46595,0.54632,0.1657,0.81572,0.52358,0.67434,0.62175,2.90815,0.79112,0.0409,2.42462,0.89712,0.0005744,0.0005744,0.0005744
74,849.392,1.76897,0.13358,0.03702,0.95053,0.71476,0.53788,0.50896,0.40329,0.11957,0.64773,0.6129,0.55779,0.51274,3.06152,0.85829,0.04068,3.22118,0.92062,0.0005546,0.0005546,0.0005546
75,860.439,1.67547,0.1269,0.04228,0.91072,0.72384,0.76307,0.43866,0.48321,0.15466,0.8753,0.50318,0.62157,0.57481,2.96212,0.88029,0.04668,2.78137,0.91403,0.0005348,0.0005348,0.0005348
76,871.499,1.68223,0.09805,0.02073,0.88273,0.73334,0.73815,0.48499,0.53397,0.1678,0.83111,0.54678,0.67258,0.6275,2.90532,0.8254,0.03808,2.31524,0.89791,0.000515,0.000515,0.000515
77,882.972,1.63056,0.09542,0.03178,0.87633,0.72499,0.75632,0.43728,0.4829,0.15577,0.83072,0.48029,0.5746,0.54272,2.88732,0.89709,0.05693,2.91564,0.89705,0.0004952,0.0004952,0.0004952
78,896.391,1.75623,0.10354,0.03826,0.91821,0.72424,0.78112,0.4767,0.54541,0.17578,0.84572,0.51613,0.63481,0.58955,2.88426,0.86669,0.05651,2.68022,0.89093,0.0004754,0.0004754,0.0004754
79,907.255,1.69973,0.10409,0.02864,0.86545,0.72208,0.67879,0.41935,0.46711,0.13516,0.82595,0.51028,0.62658,0.57573,3.04982,0.96626,0.07138,2.71072,0.91233,0.0004556,0.0004556,0.0004556
80,918.686,1.69102,0.10519,0.02745,0.84721,0.72248,0.70769,0.45161,0.47212,0.15052,0.81304,0.51971,0.59598,0.55331,3.01784,0.88362,0.04805,2.73454,0.91411,0.0004358,0.0004358,0.0004358
81,931.166,1.67692,0.08892,0.03295,0.8388,0.71391,0.76875,0.44803,0.46804,0.15316,0.8471,0.49645,0.5519,0.51882,2.97476,0.9084,0.05921,2.81381,0.89098,0.000416,0.000416,0.000416
82,942.521,1.70641,0.10949,0.03396,0.83734,0.72095,0.82426,0.43708,0.46176,0.1521,0.90552,0.48092,0.55704,0.52392,2.96706,0.83202,0.04027,2.6807,0.89727,0.0003962,0.0003962,0.0003962
83,953.208,1.67493,0.11801,0.04129,0.90341,0.7081,0.87353,0.40143,0.46504,0.14953,0.92325,0.42652,0.53373,0.50018,2.91844,0.83178,0.05557,2.84091,0.89162,0.0003764,0.0003764,0.0003764
84,964.805,1.58769,0.09638,0.03392,0.82754,0.72347,0.82898,0.43434,0.49568,0.16844,0.8771,0.46042,0.55251,0.51485,2.81841,0.86463,0.0568,2.87641,0.87681,0.0003566,0.0003566,0.0003566
85,977.66,1.66994,0.10941,0.03099,0.83267,0.72034,0.88003,0.45161,0.51834,0.15964,0.8352,0.53047,0.61714,0.57419,2.95953,0.81732,0.03652,2.59322,0.90476,0.0003368,0.0003368,0.0003368
86,988.641,1.65786,0.09614,0.03349,0.86354,0.70811,0.79267,0.45222,0.48253,0.15581,0.85225,0.51688,0.58098,0.54423,2.94667,0.83051,0.03897,2.7648,0.90083,0.000317,0.000317,0.000317
87,999.406,1.67098,0.10099,0.04225,0.86701,0.71881,0.82338,0.36762,0.41856,0.13859,0.94399,0.42287,0.54084,0.50636,2.92723,0.90245,0.0575,3.27838,0.89786,0.0002972,0.0002972,0.0002972
88,1010.03,1.64862,0.10792,0.03629,0.84346,0.71735,0.87733,0.37276,0.45646,0.15143,0.94026,0.40502,0.51241,0.47957,2.89685,0.8754,0.05424,3.45208,0.8946,0.0002774,0.0002774,0.0002774
89,1020.84,1.61237,0.10049,0.04347,0.80331,0.71338,0.82917,0.38275,0.42206,0.14002,0.91513,0.42512,0.5089,0.47715,2.93009,0.90014,0.05999,3.52523,0.89495,0.0002576,0.0002576,0.0002576
90,1031.49,1.57057,0.0933,0.03694,0.78646,0.73404,0.78575,0.43011,0.45196,0.14644,0.86103,0.47312,0.5384,0.50592,2.93215,0.89172,0.05116,3.21888,0.89238,0.0002378,0.0002378,0.0002378
91,1073.24,1.52533,0.08578,0.01823,0.80635,0.72401,0.77345,0.42652,0.4458,0.15059,0.8394,0.50582,0.5555,0.50949,2.95089,0.90311,0.03722,3.07851,0.89741,0.000218,0.000218,0.000218
92,1083.73,1.48635,0.07406,0.01001,0.74512,0.74295,0.78536,0.45161,0.45529,0.14907,0.83958,0.51254,0.55236,0.51072,2.95381,0.89262,0.03251,3.02681,0.89591,0.0001982,0.0001982,0.0001982
93,1094.26,1.51714,0.07525,0.02689,0.78484,0.74195,0.80371,0.4256,0.44061,0.1451,0.90022,0.4767,0.53605,0.49231,2.97541,0.90898,0.03585,3.27454,0.90733,0.0001784,0.0001784,0.0001784
94,1105.05,1.51386,0.0794,0.01587,0.80539,0.73534,0.75731,0.41219,0.42382,0.13896,0.86255,0.47236,0.52134,0.48551,2.9905,0.91328,0.03923,3.47717,0.91524,0.0001586,0.0001586,0.0001586
95,1116.87,1.42371,0.06678,0.01023,0.7577,0.73055,0.75549,0.43193,0.44299,0.14742,0.82735,0.48387,0.5293,0.49248,2.97519,0.89722,0.03632,3.26743,0.90445,0.0001388,0.0001388,0.0001388
96,1127.24,1.43194,0.06487,0.00835,0.73914,0.7318,0.75389,0.43011,0.43832,0.13727,0.82094,0.46953,0.526,0.4909,3.02623,0.88613,0.03409,3.33968,0.90953,0.000119,0.000119,0.000119
97,1137.35,1.4276,0.06581,0.01997,0.78384,0.73358,0.75481,0.41935,0.42242,0.1323,0.82966,0.46237,0.51576,0.4776,2.99067,0.92834,0.03757,3.49785,0.9146,9.92e-05,9.92e-05,9.92e-05
98,1147.62,1.43319,0.07122,0.01791,0.76444,0.74638,0.8481,0.3402,0.41154,0.1374,0.93745,0.37605,0.4916,0.46144,2.96904,0.9799,0.05444,3.90756,0.91161,7.94e-05,7.94e-05,7.94e-05
99,1158.04,1.37182,0.07186,0.00497,0.75199,0.73808,0.79137,0.40502,0.41757,0.13821,0.86721,0.44444,0.50478,0.4731,2.95395,0.96086,0.04803,3.66196,0.90909,5.96e-05,5.96e-05,5.96e-05
100,1168.13,1.34651,0.06732,0.02552,0.71359,0.75169,0.82463,0.38351,0.40922,0.13005,0.9017,0.41935,0.49431,0.46249,2.97052,0.98549,0.05134,3.82456,0.91328,3.98e-05,3.98e-05,3.98e-05
